threshold,method,dimension,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean
condition1,random,2,0.2085714285714285,0.5333333333333333,0.1966666666666666,0.9833333333333334,2.3707929608848417
condition1,cvt,2,0.1485714285714285,0.825,0.13,0.65,0.734375066666372
condition1,fps,2,0.1857142857142857,0.8916666666666668,0.0333333333333333,0.1666666666666666,1.0732245700379237
condition1,kennard_stone,2,0.1714285714285714,0.8333333333333334,0.0666666666666666,0.3333333333333333,1.0515986603189538
condition1,ward,2,0.2,0.8333333333333334,0.1333333333333333,0.6666666666666666,0.7153376660609491
condition1,lhs,2,0.1128571428571428,0.55,0.0,0.0,2.360462298645664
condition1,sobol,2,0.1214285714285714,0.5583333333333333,0.0033333333333333,0.0166666666666666,2.487137312052518
condition1,repulsive_fps,2,0.1485714285714285,0.7666666666666667,0.03,0.15,1.5463438833565164
condition1,random,8,0.2071428571428571,0.3583333333333333,0.2233333333333333,1.1166666666666667,7.139740191981284
condition1,cvt,8,0.1914285714285714,0.9583333333333334,0.0833333333333333,0.4166666666666666,4.361796647612854
condition1,fps,8,0.1785714285714285,0.9666666666666666,0.0233333333333333,0.1166666666666666,6.558244369650372
condition1,kennard_stone,8,0.1714285714285714,1.0,0.0,0.0,7.481627294331039
condition1,ward,8,0.1714285714285714,1.0,0.0666666666666666,0.3333333333333333,4.468216101394634
condition1,lhs,8,0.1271428571428571,0.6333333333333333,0.0,0.0,7.219481905930058
condition1,sobol,8,0.1399999999999999,0.6583333333333333,0.0,0.0,6.997609281824412
condition1,repulsive_fps,8,0.1657142857142857,0.9166666666666666,0.0066666666666666,0.0333333333333333,7.591367298838724
condition1,random,16,0.1985714285714285,0.375,0.1866666666666666,0.9333333333333332,11.189900146176392
condition1,cvt,16,0.1685714285714285,0.9333333333333332,0.0966666666666666,0.4833333333333333,8.534144721850776
condition1,fps,16,0.2028571428571428,0.9916666666666666,0.02,0.1,14.941560723814144
condition1,kennard_stone,16,0.2,1.0,0.0,0.0,21.964320936442427
condition1,ward,16,0.2,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094
condition1,lhs,16,0.16,0.5666666666666667,0.0099999999999999,0.0499999999999999,11.247608464416382
condition1,sobol,16,0.1614285714285714,0.6333333333333333,0.0166666666666666,0.0833333333333333,11.373576120851544
condition1,repulsive_fps,16,0.2028571428571428,0.9833333333333334,0.0166666666666666,0.0833333333333333,15.282328289354348
condition1,random,full,0.1914285714285714,0.425,0.1833333333333333,0.9166666666666666,22.268422762297742
condition1,cvt,full,0.1714285714285714,0.7666666666666667,0.0933333333333333,0.4666666666666666,19.397408073250887
condition1,fps,full,0.2114285714285714,0.8833333333333334,0.0233333333333333,0.1166666666666666,25.72611409744369
condition1,kennard_stone,full,0.2,0.8333333333333334,0.0,0.0,30.746961537448364
condition1,ward,full,0.1714285714285714,0.8333333333333334,0.0666666666666666,0.3333333333333333,19.25034302919073
condition1,lhs,full,0.1871428571428571,0.7333333333333333,0.0066666666666666,0.0333333333333333,26.200058512049477
condition1,sobol,full,0.2057142857142856,0.7,0.0166666666666666,0.0833333333333333,25.95192544286067
condition1,repulsive_fps,full,0.2042857142857142,0.8666666666666668,0.0133333333333333,0.0666666666666666,26.649042462939867
1,random,2,0.2085714285714285,0.5333333333333333,0.1966666666666666,0.9833333333333334,2.3707929608848417
1,cvt,2,0.1485714285714285,0.825,0.13,0.65,0.734375066666372
1,fps,2,0.1857142857142857,0.8916666666666668,0.0333333333333333,0.1666666666666666,1.0732245700379237
1,kennard_stone,2,0.1714285714285714,0.8333333333333334,0.0666666666666666,0.3333333333333333,1.0515986603189538
1,ward,2,0.2,0.8333333333333334,0.1333333333333333,0.6666666666666666,0.7153376660609491
1,lhs,2,0.1128571428571428,0.55,0.0,0.0,2.360462298645664
1,sobol,2,0.1214285714285714,0.5583333333333333,0.0033333333333333,0.0166666666666666,2.487137312052518
1,repulsive_fps,2,0.1485714285714285,0.7666666666666667,0.03,0.15,1.5463438833565164
1,random,8,0.2071428571428571,0.3583333333333333,0.2233333333333333,1.1166666666666667,7.139740191981284
1,cvt,8,0.1914285714285714,0.9583333333333334,0.0833333333333333,0.4166666666666666,4.361796647612854
1,fps,8,0.1785714285714285,0.9666666666666666,0.0233333333333333,0.1166666666666666,6.558244369650372
1,kennard_stone,8,0.1714285714285714,1.0,0.0,0.0,7.481627294331039
1,ward,8,0.1714285714285714,1.0,0.0666666666666666,0.3333333333333333,4.468216101394634
1,lhs,8,0.1271428571428571,0.6333333333333333,0.0,0.0,7.219481905930058
1,sobol,8,0.1399999999999999,0.6583333333333333,0.0,0.0,6.997609281824412
1,repulsive_fps,8,0.1657142857142857,0.9166666666666666,0.0066666666666666,0.0333333333333333,7.591367298838724
1,random,16,0.1985714285714285,0.375,0.1866666666666666,0.9333333333333332,11.189900146176392
1,cvt,16,0.1685714285714285,0.9333333333333332,0.0966666666666666,0.4833333333333333,8.534144721850776
1,fps,16,0.2028571428571428,0.9916666666666666,0.02,0.1,14.941560723814144
1,kennard_stone,16,0.2,1.0,0.0,0.0,21.964320936442427
1,ward,16,0.2,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094
1,lhs,16,0.16,0.5666666666666667,0.0099999999999999,0.0499999999999999,11.247608464416382
1,sobol,16,0.1614285714285714,0.6333333333333333,0.0166666666666666,0.0833333333333333,11.373576120851544
1,repulsive_fps,16,0.2028571428571428,0.9833333333333334,0.0166666666666666,0.0833333333333333,15.282328289354348
1,random,full,0.1914285714285714,0.425,0.1833333333333333,0.9166666666666666,22.268422762297742
1,cvt,full,0.1714285714285714,0.7666666666666667,0.0933333333333333,0.4666666666666666,19.397408073250887
1,fps,full,0.2114285714285714,0.8833333333333334,0.0233333333333333,0.1166666666666666,25.72611409744369
1,kennard_stone,full,0.2,0.8333333333333334,0.0,0.0,30.746961537448364
1,ward,full,0.1714285714285714,0.8333333333333334,0.0666666666666666,0.3333333333333333,19.25034302919073
1,lhs,full,0.1871428571428571,0.7333333333333333,0.0066666666666666,0.0333333333333333,26.200058512049477
1,sobol,full,0.2057142857142856,0.7,0.0166666666666666,0.0833333333333333,25.95192544286067
1,repulsive_fps,full,0.2042857142857142,0.8666666666666668,0.0133333333333333,0.0666666666666666,26.649042462939867
30,random,2,0.2083333333333333,0.5333333333333333,0.1966666666666666,0.9833333333333334,2.3707929608848417
30,cvt,2,0.1444444444444444,0.825,0.13,0.65,0.734375066666372
30,fps,2,0.1819444444444444,0.9,0.0333333333333333,0.1666666666666666,1.0732245700379237
30,kennard_stone,2,0.1666666666666666,0.8333333333333334,0.0666666666666666,0.3333333333333333,1.0515986603189538
30,ward,2,0.1944444444444444,0.8333333333333334,0.1333333333333333,0.6666666666666666,0.7153376660609491
30,lhs,2,0.1111111111111111,0.5583333333333333,0.0,0.0,2.360462298645664
30,sobol,2,0.1180555555555555,0.5583333333333333,0.0033333333333333,0.0166666666666666,2.487137312052518
30,repulsive_fps,2,0.1486111111111111,0.7916666666666667,0.03,0.15,1.5303558205702683
30,random,8,0.2069444444444444,0.375,0.2333333333333333,1.1666666666666663,7.139740191981284
30,cvt,8,0.1861111111111111,0.9916666666666666,0.0833333333333333,0.4166666666666666,4.361796647612854
30,fps,8,0.175,0.975,0.0233333333333333,0.1166666666666666,6.558244369650372
30,kennard_stone,8,0.1666666666666666,1.0,0.0,0.0,7.481627294331039
30,ward,8,0.1666666666666666,1.0,0.0666666666666666,0.3333333333333333,4.468216101394634
30,lhs,8,0.1236111111111111,0.6333333333333333,0.0,0.0,7.219481905930058
30,sobol,8,0.1361111111111111,0.6583333333333333,0.0,0.0,6.997609281824412
30,repulsive_fps,8,0.1638888888888889,0.925,0.0033333333333333,0.0166666666666666,7.581167630594207
30,random,16,0.1972222222222222,0.325,0.1866666666666666,0.9333333333333332,11.189900146176392
30,cvt,16,0.1638888888888889,0.8666666666666666,0.0966666666666666,0.4833333333333333,8.534144721850776
30,fps,16,0.1972222222222222,0.9,0.02,0.1,14.941560723814144
30,kennard_stone,16,0.1944444444444444,0.8333333333333334,0.0,0.0,21.964320936442427
30,ward,16,0.1944444444444444,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094
30,lhs,16,0.1555555555555555,0.55,0.0099999999999999,0.0499999999999999,11.247608464416382
30,sobol,16,0.1583333333333333,0.6166666666666667,0.0166666666666666,0.0833333333333333,11.373576120851544
30,repulsive_fps,16,0.2,0.925,0.0166666666666666,0.0833333333333333,15.278612283523568
30,random,full,0.1916666666666666,0.375,0.1833333333333333,0.9166666666666666,22.268422762297742
30,cvt,full,0.1666666666666666,0.8,0.0933333333333333,0.4666666666666666,19.397408073250887
30,fps,full,0.2069444444444444,0.9666666666666666,0.0233333333333333,0.1166666666666666,25.72611409744369
30,kennard_stone,full,0.1944444444444444,1.0,0.0,0.0,30.746961537448364
30,ward,full,0.1666666666666666,0.6666666666666666,0.0666666666666666,0.3333333333333333,19.25034302919073
30,lhs,full,0.1833333333333333,0.7166666666666667,0.0066666666666666,0.0333333333333333,26.200058512049477
30,sobol,full,0.2027777777777777,0.6833333333333333,0.0166666666666666,0.0833333333333333,25.95192544286067
30,repulsive_fps,full,0.1986111111111111,0.9166666666666669,0.0133333333333333,0.0666666666666666,26.649042462939867
50,random,2,0.2056818181818181,0.5666666666666667,0.1966666666666666,0.9833333333333332,2.3707929608848417
50,cvt,2,0.1659090909090909,1.0,0.1266666666666666,0.6333333333333333,0.734375066666372
50,fps,2,0.2034090909090909,0.975,0.03,0.15,1.0732245700379237
50,kennard_stone,2,0.2045454545454545,1.0,0.0,0.0,1.0515986603189538
50,ward,2,0.2045454545454545,1.0,0.1333333333333333,0.6666666666666666,0.7153376660609491
50,lhs,2,0.1545454545454545,0.775,0.0066666666666666,0.0333333333333333,2.360462298645664
50,sobol,2,0.1602272727272727,0.7666666666666667,0.0033333333333333,0.0166666666666666,2.487137312052518
50,repulsive_fps,2,0.1670454545454545,0.9666666666666666,0.0233333333333333,0.1166666666666666,1.5023936328311378
50,random,8,0.2102272727272727,0.3,0.2333333333333333,1.1666666666666663,7.139740191981284
50,cvt,8,0.1977272727272727,0.9916666666666666,0.0833333333333333,0.4166666666666666,4.361796647612854
50,fps,8,0.2125,1.0,0.0233333333333333,0.1166666666666666,6.558244369650372
50,kennard_stone,8,0.2272727272727272,1.0,0.0,0.0,7.481627294331039
50,ward,8,0.2045454545454545,1.0,0.0666666666666666,0.3333333333333333,4.468216101394634
50,lhs,8,0.171590909090909,0.7166666666666667,0.0,0.0,7.219481905930058
50,sobol,8,0.1863636363636363,0.7583333333333333,0.0,0.0,6.997609281824412
50,repulsive_fps,8,0.2,0.9916666666666666,0.0033333333333333,0.0166666666666666,7.7510876845930685
50,random,16,0.2,0.3333333333333333,0.1866666666666666,0.9333333333333332,11.189900146176392
50,cvt,16,0.2204545454545454,1.0,0.0966666666666666,0.4833333333333333,8.534144721850776
50,fps,16,0.2284090909090909,1.0,0.02,0.1,14.941560723814144
50,kennard_stone,16,0.2272727272727272,1.0,0.0,0.0,21.964320936442427
50,ward,16,0.2272727272727272,1.0,0.0666666666666666,0.3333333333333333,8.482318345386094
50,lhs,16,0.1943181818181818,0.675,0.0099999999999999,0.0499999999999999,11.247608464416382
50,sobol,16,0.2011363636363636,0.725,0.0166666666666666,0.0833333333333333,11.373576120851544
50,repulsive_fps,16,0.2306818181818181,1.0,0.0166666666666666,0.0833333333333333,15.2740185770131
50,random,full,0.1931818181818181,0.4416666666666667,0.1833333333333333,0.9166666666666666,22.268422762297742
50,cvt,full,0.1954545454545454,0.8166666666666667,0.0933333333333333,0.4666666666666666,19.397408073250887
50,fps,full,0.234090909090909,0.8583333333333334,0.0233333333333333,0.1166666666666666,25.72611409744369
50,kennard_stone,full,0.2272727272727272,0.8333333333333334,0.0,0.0,30.746961537448364
50,ward,full,0.1818181818181818,0.8333333333333334,0.0666666666666666,0.3333333333333333,19.25034302919073
50,lhs,full,0.2306818181818181,0.7833333333333333,0.0066666666666666,0.0333333333333333,26.200058512049477
50,sobol,full,0.234090909090909,0.7583333333333333,0.0166666666666666,0.0833333333333333,25.95192544286067
50,repulsive_fps,full,0.2295454545454545,0.8833333333333334,0.0133333333333333,0.0666666666666666,26.683718256994734
