dataset,budget,repeats,best_method,best_dimension,candidate_method,candidate_dimension,boundary_coverage_delta_mean,boundary_coverage_delta_ci_low,boundary_coverage_delta_ci_high,paired_repeats
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,fps,2,0.2166666666666667,0.20333333333333342,0.23000000000000004,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,kennard_stone,tanimoto,0.1875,0.1875,0.1875,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,kennard_stone,2,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,ward,8,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,ward,16,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,ward,full,0.18333333333333343,0.18333333333333343,0.18333333333333343,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,cvt,8,0.16666666666666674,0.1533333333333334,0.17666666666666678,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,cvt,full,0.15666666666666676,0.14333333333333337,0.1700000000000001,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,cvt,16,0.1533333333333334,0.14000000000000004,0.16666666666666677,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,fps,tanimoto,0.13125,0.10625,0.15625,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,8,0.12666666666666668,0.11333333333333336,0.14000000000000007,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,cvt,2,0.12000000000000004,0.1166666666666667,0.1266666666666667,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,ward,2,0.1166666666666667,0.1166666666666667,0.1166666666666667,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,16,0.10333333333333336,0.09000000000000002,0.11333333333333337,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,tanimoto,0.0875,0.0625,0.1125,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,full,0.0666666666666667,0.0366666666666667,0.09333333333333335,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,random,full,0.06666666666666668,0.023333333333333352,0.10666666666666669,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,random,16,0.06333333333333335,0.030000000000000027,0.09666666666666669,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,cvt,tanimoto,0.0625,0.0625,0.0625,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,ward,tanimoto,0.0625,0.0625,0.0625,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,random,tanimoto,0.05625,0.021875,0.090625,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,random,2,0.05333333333333336,0.010000000000000014,0.09666666666666669,20
