threshold,method,dimension,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean
50,random,8,0.2102272727272727,0.3,0.2333333333333333,1.1666666666666663,7.139740191981284
30,random,8,0.2069444444444444,0.375,0.2333333333333333,1.1666666666666663,7.139740191981284
condition1,random,8,0.2071428571428571,0.3583333333333333,0.2233333333333333,1.1166666666666667,7.139740191981284
1,random,8,0.2071428571428571,0.3583333333333333,0.2233333333333333,1.1166666666666667,7.139740191981284
