dataset,budget,repeats,method,dimension,metric,reference_coverage_q10_mean,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_exact_recall_mean,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,coverage_radius_mean
alcohol,60,20,kennard_stone,64,euclidean,0.0338983050847457,0.0338983050847457,0.0338983050847457,0.3389830508474576,0.0,32.55406451763293,32.55406451763293,32.55406451763293,31.762009584392835
alcohol,60,20,ward,64,euclidean,0.3559322033898305,0.3559322033898305,0.3559322033898305,3.559322033898306,0.0508474576271186,8.931022784076735,8.931022784076735,8.931022784076735,12.78238839557111
alcohol,60,20,random,128,euclidean,0.2677966101694916,0.2440677966101695,0.2949152542372881,2.6779661016949152,0.0025423728813559,14.025462708892448,13.75108041087076,14.30615108033301,19.489410566530303
alcohol,60,20,cvt,128,euclidean,0.3296610169491525,0.3194915254237288,0.3398305084745762,3.296610169491525,0.0364406779661016,11.634478213935894,11.502054473747815,11.779433202974616,17.31078901197698
alcohol,60,20,scopemap_hd,128,euclidean,0.3525423728813559,0.335593220338983,0.3686440677966102,3.5254237288135584,0.0491525423728813,11.233951753369944,11.121698447365684,11.347916944971455,18.183219606132216
alcohol,60,20,fps,128,euclidean,0.2483050847457627,0.2025211864406779,0.2915254237288135,2.483050847457627,0.0,25.30499232135768,22.017246517913936,28.89841219227901,28.83893615797744
alcohol,60,20,kennard_stone,128,euclidean,0.0677966101694915,0.0677966101694915,0.0677966101694915,0.6779661016949152,0.0,44.24582181096166,44.24582181096166,44.24582181096166,44.16027109729116
alcohol,60,20,ward,128,euclidean,0.3389830508474576,0.3389830508474576,0.3389830508474576,3.389830508474576,0.0169491525423728,11.616001044636908,11.616001044636908,11.616001044636908,17.3440303726291
alcohol,60,20,random,full,euclidean,0.3822033898305084,0.3728813559322034,0.3915254237288136,3.822033898305085,0.0016949152542372,27.526127894078105,27.02121173808149,28.01526667492399,35.68933927487123
alcohol,60,20,cvt,full,euclidean,0.3991525423728813,0.3898305084745762,0.4093220338983051,3.991525423728813,0.0245762711864406,23.08285163107368,22.9578511620043,23.223470777420395,32.443508545515336
alcohol,60,20,scopemap_hd,full,euclidean,0.4466101694915253,0.4389830508474576,0.4533898305084746,4.466101694915253,0.0288135593220339,22.18646725693943,22.095765171699185,22.277833678425743,32.880395536280616
alcohol,60,20,fps,full,euclidean,0.4093220338983051,0.3881355932203389,0.4296610169491526,4.093220338983051,0.0,42.77631112259333,38.40366251331197,47.85321978574066,48.22954619031878
alcohol,60,20,kennard_stone,full,euclidean,0.288135593220339,0.288135593220339,0.288135593220339,2.88135593220339,0.0,71.80218273241765,71.80218273241765,71.80218273241765,73.57640992041593
alcohol,60,20,ward,full,euclidean,0.4406779661016949,0.4406779661016949,0.4406779661016949,4.40677966101695,0.0169491525423728,23.07274332662443,23.07274332662443,23.07274332662443,32.64286345679311
alcohol,60,20,random,tanimoto,tanimoto,0.0567796610169491,0.0457627118644067,0.068665254237288,0.5677966101694915,0.0,0.6149941150561039,0.6077379575510466,0.6228896211494217,0.603416909861378
