dataset,dimension,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mcc_mean,mcc_ci_low,mcc_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high
buchwald_hartwig,2,0.5683779176501442,0.5546094657375144,0.5823997789517064,0.1283503537929207,0.102072490383523,0.1554394093667181,0.6028075274169464,0.5842914947253489,0.6222843775590489
buchwald_hartwig,16,0.8765651343149375,0.8716960539133042,0.8816546307744182,0.7308605845517178,0.7215946655631252,0.7407061903750511,0.9494436326851748,0.946676223794002,0.952159117974491
buchwald_hartwig,32,0.8888829568019182,0.8841759862875126,0.8933392107826607,0.7599810397159165,0.7524336675520056,0.7685188210189077,0.9627427918452984,0.9603022654773948,0.9651214996226656
buchwald_hartwig,full,0.8950535761117979,0.8914294612416169,0.8984857957738563,0.7518185462860055,0.7444448506018754,0.758420771419027,0.9702628494356044,0.9684205283214782,0.9720501760893184
suzuki_miyaura,2,0.6145591378783849,0.6025380313970401,0.626045773121743,0.2222648273730839,0.1980089999247676,0.2461811559828101,0.6669371741788185,0.6509171041960132,0.6812240930090527
suzuki_miyaura,16,0.8336035672186267,0.8288779465508241,0.838475411343256,0.6544718142818496,0.6447851065102603,0.6637112292668605,0.9189605353454758,0.9156022226162448,0.9219594775040416
suzuki_miyaura,32,0.8703394505353781,0.8667340281266521,0.8737212322402489,0.7325937199681074,0.7257491083841465,0.7394768579589605,0.9513423039162572,0.9492493594395248,0.9533683589393348
suzuki_miyaura,full,0.8862454892612404,0.8830278549405519,0.8894015123903716,0.7557044929001255,0.7494151326135261,0.7618735411281966,0.9598962625854672,0.9581399256610552,0.9615327755723452
