dataset,budget,repeats,best_method,best_dimension,best_metric,candidate_method,candidate_dimension,candidate_metric,reference_coverage_q10_delta_mean,reference_coverage_q10_delta_ci_low,reference_coverage_q10_delta_ci_high,paired_repeats
oxo_carboxide,21,20,ward,full,euclidean,scopemap_hd,2,euclidean,0.22222222222222227,0.2,0.24444444444444446,20
oxo_carboxide,21,20,ward,full,euclidean,scopemap_hd,128,euclidean,0.22222222222222224,0.22222222222222224,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,ward,128,euclidean,0.22222222222222224,0.22222222222222224,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,cvt,tanimoto,tanimoto,0.22222222222222224,0.22222222222222224,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,kennard_stone,tanimoto,tanimoto,0.22222222222222224,0.22222222222222224,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,ward,tanimoto,tanimoto,0.22222222222222224,0.22222222222222224,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,cvt,64,euclidean,0.21944444444444447,0.20833333333333334,0.23055555555555557,20
oxo_carboxide,21,20,ward,full,euclidean,scopemap_hd,64,euclidean,0.21388888888888893,0.20555555555555555,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,cvt,128,euclidean,0.21388888888888888,0.2,0.22222222222222224,20
oxo_carboxide,21,20,ward,full,euclidean,fps,2,euclidean,0.19999999999999998,0.1611111111111111,0.2361111111111111,20
oxo_carboxide,21,20,ward,full,euclidean,kennard_stone,full,euclidean,0.16666666666666669,0.16666666666666669,0.16666666666666669,20
oxo_carboxide,21,20,ward,full,euclidean,scopemap_hd,full,euclidean,0.1638888888888889,0.15833333333333333,0.16666666666666669,20
oxo_carboxide,21,20,ward,full,euclidean,random,128,euclidean,0.15555555555555556,0.10555555555555556,0.2,20
oxo_carboxide,21,20,ward,full,euclidean,cvt,full,euclidean,0.15000000000000002,0.125,0.16666666666666669,20
oxo_carboxide,21,20,ward,full,euclidean,fps,tanimoto,tanimoto,0.14999999999999997,0.08055555555555553,0.21388888888888888,20
oxo_carboxide,21,20,ward,full,euclidean,random,full,euclidean,0.14722222222222223,0.125,0.16666666666666669,20
oxo_carboxide,21,20,ward,full,euclidean,fps,full,euclidean,0.08888888888888889,0.061111111111111116,0.11388888888888889,20
styrene,21,20,ward,128,euclidean,fps,2,euclidean,0.7285714285714285,0.6928571428571427,0.7607142857142857,20
styrene,21,20,ward,128,euclidean,kennard_stone,2,euclidean,0.7142857142857142,0.7142857142857142,0.7142857142857142,20
styrene,21,20,ward,128,euclidean,random,tanimoto,tanimoto,0.7,0.6714285714285714,0.7285714285714286,20
styrene,21,20,ward,128,euclidean,scopemap_hd,2,euclidean,0.6892857142857143,0.6357142857142858,0.7357142857142858,20
styrene,21,20,ward,128,euclidean,cvt,2,euclidean,0.6821428571428572,0.6464285714285715,0.7178571428571427,20
styrene,21,20,ward,128,euclidean,kennard_stone,64,euclidean,0.6428571428571428,0.6428571428571428,0.6428571428571428,20
styrene,21,20,ward,128,euclidean,cvt,tanimoto,tanimoto,0.6428571428571428,0.6428571428571428,0.6428571428571428,20
styrene,21,20,ward,128,euclidean,kennard_stone,tanimoto,tanimoto,0.6428571428571428,0.6428571428571428,0.6428571428571428,20
styrene,21,20,ward,128,euclidean,ward,tanimoto,tanimoto,0.6428571428571428,0.6428571428571428,0.6428571428571428,20
styrene,21,20,ward,128,euclidean,random,2,euclidean,0.6428571428571427,0.5964285714285713,0.6857142857142857,20
styrene,21,20,ward,128,euclidean,fps,tanimoto,tanimoto,0.6214285714285713,0.5964285714285713,0.6464285714285714,20
styrene,21,20,ward,128,euclidean,ward,2,euclidean,0.5714285714285714,0.5714285714285714,0.5714285714285714,20
styrene,21,20,ward,128,euclidean,scopemap_hd,tanimoto,tanimoto,0.5714285714285714,0.5714285714285714,0.5714285714285714,20
styrene,21,20,ward,128,euclidean,random,64,euclidean,0.5035714285714286,0.4214285714285714,0.5821428571428571,20
styrene,21,20,ward,128,euclidean,kennard_stone,128,euclidean,0.5,0.5,0.5,20
styrene,21,20,ward,128,euclidean,fps,64,euclidean,0.4428571428571429,0.35714285714285715,0.5215178571428559,20
styrene,21,20,ward,128,euclidean,random,128,euclidean,0.36428571428571427,0.325,0.40714285714285714,20
styrene,21,20,ward,128,euclidean,random,full,euclidean,0.275,0.24999999999999994,0.3000000000000001,20
styrene,21,20,ward,128,euclidean,fps,128,euclidean,0.21428571428571425,0.14642857142857138,0.2857142857142857,20
styrene,21,20,ward,128,euclidean,scopemap_hd,64,euclidean,0.18928571428571428,0.14285714285714285,0.2357142857142857,20
styrene,21,20,ward,128,euclidean,fps,full,euclidean,0.17499999999999996,0.12857142857142853,0.2179464285714273,20
styrene,21,20,ward,128,euclidean,cvt,64,euclidean,0.1392857142857143,0.10357142857142851,0.1821428571428571,20
styrene,21,20,ward,128,euclidean,cvt,full,euclidean,0.11428571428571424,0.09999999999999995,0.1285714285714285,20
styrene,21,20,ward,128,euclidean,scopemap_hd,full,euclidean,0.07857142857142854,0.06428571428571425,0.09285714285714282,20
styrene,21,20,ward,128,euclidean,ward,64,euclidean,0.0714285714285714,0.0714285714285714,0.0714285714285714,20
styrene,21,20,ward,128,euclidean,kennard_stone,full,euclidean,0.0714285714285714,0.0714285714285714,0.0714285714285714,20
styrene,21,20,ward,128,euclidean,ward,full,euclidean,0.0714285714285714,0.0714285714285714,0.0714285714285714,20
styrene,21,20,ward,128,euclidean,scopemap_hd,128,euclidean,0.024999999999999988,0.00714285714285714,0.04285714285714284,20
styrene,21,20,ward,128,euclidean,cvt,128,euclidean,0.01071428571428571,-0.01071428571428571,0.032142857142857126,20
thiol,21,20,kennard_stone,full,euclidean,kennard_stone,2,euclidean,0.5000000000000001,0.5000000000000001,0.5000000000000001,20
thiol,21,20,kennard_stone,full,euclidean,scopemap_hd,2,euclidean,0.48888888888888893,0.45833333333333337,0.5166666666666667,20
thiol,21,20,kennard_stone,full,euclidean,fps,2,euclidean,0.4638888888888889,0.4138888888888889,0.5055555555555556,20
thiol,21,20,kennard_stone,full,euclidean,random,64,euclidean,0.44444444444444453,0.42222222222222233,0.4666666666666668,20
thiol,21,20,kennard_stone,full,euclidean,random,tanimoto,tanimoto,0.44444444444444453,0.4166666666666668,0.46944444444444455,20
thiol,21,20,kennard_stone,full,euclidean,cvt,tanimoto,tanimoto,0.4444444444444445,0.4444444444444445,0.4444444444444445,20
thiol,21,20,kennard_stone,full,euclidean,ward,tanimoto,tanimoto,0.4444444444444445,0.4444444444444445,0.4444444444444445,20
thiol,21,20,kennard_stone,full,euclidean,cvt,64,euclidean,0.43055555555555564,0.41944444444444456,0.43888888888888894,20
thiol,21,20,kennard_stone,full,euclidean,fps,64,euclidean,0.42222222222222233,0.38888888888888895,0.45277777777777783,20
thiol,21,20,kennard_stone,full,euclidean,random,128,euclidean,0.4166666666666667,0.38333333333333336,0.45000000000000007,20
thiol,21,20,kennard_stone,full,euclidean,random,2,euclidean,0.4083333333333334,0.36111111111111116,0.45277777777777783,20
thiol,21,20,kennard_stone,full,euclidean,fps,128,euclidean,0.4055555555555556,0.3833333333333334,0.42777777777777787,20
thiol,21,20,kennard_stone,full,euclidean,scopemap_hd,64,euclidean,0.3916666666666667,0.38055555555555565,0.40277777777777785,20
thiol,21,20,kennard_stone,full,euclidean,kennard_stone,64,euclidean,0.388888888888889,0.388888888888889,0.388888888888889,20
thiol,21,20,kennard_stone,full,euclidean,ward,64,euclidean,0.388888888888889,0.388888888888889,0.388888888888889,20
thiol,21,20,kennard_stone,full,euclidean,ward,128,euclidean,0.388888888888889,0.388888888888889,0.388888888888889,20
thiol,21,20,kennard_stone,full,euclidean,scopemap_hd,tanimoto,tanimoto,0.388888888888889,0.388888888888889,0.388888888888889,20
thiol,21,20,kennard_stone,full,euclidean,fps,tanimoto,tanimoto,0.34722222222222227,0.31388888888888894,0.37784722222222134,20
thiol,21,20,kennard_stone,full,euclidean,cvt,2,euclidean,0.3388888888888889,0.3055555555555556,0.375,20
thiol,21,20,kennard_stone,full,euclidean,kennard_stone,tanimoto,tanimoto,0.3388888888888889,0.3194444444444445,0.35833333333333345,20
thiol,21,20,kennard_stone,full,euclidean,scopemap_hd,128,euclidean,0.3194444444444444,0.2944444444444444,0.34444444444444444,20
thiol,21,20,kennard_stone,full,euclidean,cvt,128,euclidean,0.3083333333333333,0.2833333333333333,0.33333333333333337,20
thiol,21,20,kennard_stone,full,euclidean,kennard_stone,128,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
thiol,21,20,kennard_stone,full,euclidean,cvt,full,euclidean,0.24722222222222223,0.21944444444444447,0.27222222222222225,20
thiol,21,20,kennard_stone,full,euclidean,ward,2,euclidean,0.22222222222222227,0.22222222222222227,0.22222222222222227,20
thiol,21,20,kennard_stone,full,euclidean,ward,full,euclidean,0.22222222222222227,0.22222222222222227,0.22222222222222227,20
thiol,21,20,kennard_stone,full,euclidean,random,full,euclidean,0.22222222222222224,0.18888888888888888,0.2527777777777779,20
thiol,21,20,kennard_stone,full,euclidean,scopemap_hd,full,euclidean,0.18611111111111117,0.15,0.21944444444444447,20
thiol,21,20,kennard_stone,full,euclidean,fps,full,euclidean,0.18055555555555558,0.15000000000000005,0.21388888888888893,20
