analysis_type,dataset,method,dimension,budget,budget_spent,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean,compactness_score,pareto_metric_count
prospective_final,aldol,random,2,80,80.0,0.0750566893424036,0.6875,0.0673992673992674,0.9191575091575092,0.4486259047153348,-0.4486259047153348,5
prospective_final,aldol,cvt,2,80,80.0,0.1394557823129251,0.975,0.0555555555555555,0.757638888888889,0.6267350180836414,-0.6267350180836414,5
prospective_final,aldol,weighted_itr_cvt,2,80,80.0,0.1272108843537415,0.9208333333333332,0.0197802197802197,0.2697527472527473,0.5434313568112248,-0.5434313568112248,5
prospective_final,aldol,fps,2,80,80.0,0.1666666666666666,0.8041666666666667,0.0083028083028083,0.1132295482295482,0.4875493969857591,-0.4875493969857591,5
prospective_final,aldol,kennard_stone,2,80,80.0,0.1523809523809523,0.8791666666666667,0.0064713064713064,0.088252442002442,0.5512802268995699,-0.5512802268995699,5
prospective_final,aldol,ward,2,80,80.0,0.1653061224489796,0.9166666666666666,0.0427350427350427,0.5827991452991452,0.5840313983533568,-0.5840313983533568,5
prospective_final,aldol,cvt,64,80,80.0,0.0850340136054421,0.5916666666666667,0.1244200244200244,1.696778083028083,14.1297847543145,-14.1297847543145,5
prospective_final,aldol,weighted_itr_cvt,64,80,80.0,0.0766439909297052,0.625,0.1136752136752136,1.5502457264957266,13.996897563302012,-13.996897563302012,5
prospective_final,aldol,fps,64,80,80.0,0.1503401360544217,1.0,0.0225885225885225,0.3080509768009768,14.300116302436232,-14.300116302436232,5
prospective_final,aldol,ward,64,80,80.0,0.1056689342403628,0.625,0.1194139194139194,1.6285073260073262,14.465099758143996,-14.465099758143996,5
prospective_final,aldol,repulsive_fps,64,80,80.0,0.1560090702947845,1.0,0.0238095238095238,0.3247023809523809,14.374285524600047,-14.374285524600047,5
