dataset,budget,repeats,method,dimension,failure_recall_mean,failure_recall_ci_low,failure_recall_ci_high,failure_cluster_coverage_mean,failure_cluster_coverage_ci_low,failure_cluster_coverage_ci_high,boundary_coverage_mean,boundary_coverage_ci_low,boundary_coverage_ci_high,boundary_enrichment_mean,boundary_enrichment_ci_low,boundary_enrichment_ci_high,coverage_radius_mean,coverage_radius_ci_low,coverage_radius_ci_high
cobalt_threshold50,12,20,weighted_itr_cvt,tanimoto,0.1818181818181818,0.1818181818181818,0.1818181818181818,1.0,1.0,1.0,0.3333333333333333,0.3333333333333332,0.3333333333333332,1.6666666666666663,1.6666666666666667,1.6666666666666667,0.4913591468428002,0.4913591468428002,0.4913591468428002
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.75,0.75,0.75,0.25,0.25,0.25,1.25,1.25,1.25,0.4913591468428002,0.4913591468428002,0.4913591468428002
cobalt_threshold30,12,20,weighted_itr_cvt,tanimoto,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.75,0.75,0.75,0.25,0.25,0.25,1.25,1.25,1.25,0.4913591468428002,0.4913591468428002,0.4913591468428002
cobalt_threshold1,12,20,weighted_itr_cvt,tanimoto,0.1714285714285714,0.1714285714285714,0.1714285714285714,0.75,0.75,0.75,0.25,0.25,0.25,1.25,1.25,1.25,0.4913591468428002,0.4913591468428002,0.4913591468428002
aldol,40,10,weighted_itr_cvt,full,0.0333333333333333,0.027891156462585,0.0387755102040816,0.5,0.45,0.55,0.0956043956043956,0.0893772893772893,0.1010989010989011,2.6076098901098903,2.44775641025641,2.787445054945055,35.19665116746197,35.17434037603268,35.22086365269356
