dataset,budget,repeats,method,dimension,failure_recall_mean,failure_recall_ci_low,failure_recall_ci_high,failure_cluster_coverage_mean,failure_cluster_coverage_ci_low,failure_cluster_coverage_ci_high,boundary_coverage_mean,boundary_coverage_ci_low,boundary_coverage_ci_high,boundary_enrichment_mean,boundary_enrichment_ci_low,boundary_enrichment_ci_high,coverage_radius_mean,coverage_radius_ci_low,coverage_radius_ci_high
aldol,40,10,fps,64,0.0952380952380952,0.092517006802721,0.0979591836734693,1.0,1.0,1.0,0.0025641025641025,0.001098901098901,0.004029304029304,0.0699358974358974,0.0299725274725274,0.1098992673992674,21.870162681927685,20.13797685801021,23.860840088839545
cobalt_condition1,12,20,kennard_stone,8,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481627294331039,7.481627294331041,7.481627294331041
cobalt_threshold50,12,20,cvt,8,0.1977272727272727,0.1931818181818181,0.2022727272727273,1.0,1.0,1.0,0.0833333333333333,0.0733333333333333,0.0966666666666666,0.4166666666666666,0.35,0.4833333333333333,4.361796647612854,4.33656211352927,4.387706036563101
cobalt_threshold1,12,20,kennard_stone,8,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481627294331039,7.481627294331041,7.481627294331041
cobalt_threshold30,12,20,weighted_itr_cvt,2,0.1652777777777777,0.161111111111111,0.1694444444444444,1.0,1.0,1.0,0.0033333333333333,0.0,0.01,0.0166666666666666,0.0,0.05,1.050256818216,1.0319679515385285,1.068141142840573
