dataset,budget,repeats,method,dimension,failure_recall_mean,failure_recall_ci_low,failure_recall_ci_high,failure_cluster_coverage_mean,failure_cluster_coverage_ci_low,failure_cluster_coverage_ci_high,boundary_coverage_mean,boundary_coverage_ci_low,boundary_coverage_ci_high,boundary_enrichment_mean,boundary_enrichment_ci_low,boundary_enrichment_ci_high,coverage_radius_mean,coverage_radius_ci_low,coverage_radius_ci_high
aldol,40,10,fps,64,0.0952380952380952,0.092517006802721,0.0979591836734693,1.0,1.0,1.0,0.0025641025641025,0.001098901098901,0.004029304029304,0.0699358974358974,0.0299725274725274,0.1098992673992674,21.870162681927685,20.13797685801021,23.860840088839545
aldol,40,10,kennard_stone,64,0.0952380952380952,0.0952380952380952,0.0952380952380952,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.13474889794328,28.13474889794328,28.13474889794328
aldol,40,10,ward,64,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.625,0.625,0.625,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.6993589743589744,0.6993589743589743,0.6993589743589743,14.608840053729232,14.608840053729232,14.608840053729232
aldol,40,10,repulsive_fps,64,0.0925170068027211,0.0829931972789115,0.1006802721088435,0.975,0.9375,1.0,0.001098901098901,0.0,0.0021978021978021,0.0299725274725274,0.0,0.0599450549450549,23.037031572047827,20.996554391151022,24.92866289510619
aldol,40,10,random,128,0.0387755102040816,0.0299319727891156,0.0476190476190476,0.3875,0.3,0.475,0.0388278388278388,0.0347893772893772,0.0435897435897435,1.0590293040293042,0.9491300366300364,1.1889102564102565,22.13260759590751,22.028083466493868,22.2352919534761
aldol,40,10,cvt,128,0.0374149659863945,0.0299319727891156,0.0442176870748299,0.55,0.4375,0.65,0.0413919413919413,0.0366300366300366,0.0461538461538461,1.1289652014652014,1.0090750915750917,1.258846153846154,20.30237280749852,20.273245221144435,20.333454886057087
aldol,40,10,weighted_itr_cvt,128,0.0346938775510204,0.0299319727891156,0.0387755102040816,0.5125,0.425,0.6,0.0732600732600732,0.0692307692307692,0.0772893772893772,1.9981684981684984,1.8882692307692304,2.118058608058608,20.58036745085009,20.550850980149303,20.61042075535641
aldol,40,10,fps,128,0.0782312925170068,0.0741496598639455,0.0829931972789115,0.975,0.9375,1.0,0.001098901098901,0.0,0.0021978021978021,0.0299725274725274,0.0,0.0599450549450549,28.52989476658264,26.007757181032105,31.198547577721744
aldol,40,10,kennard_stone,128,0.0884353741496598,0.0884353741496598,0.0884353741496598,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5075946942357,37.5075946942357,37.5075946942357
aldol,40,10,ward,128,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.75,0.75,0.75,0.0293040293040293,0.0293040293040293,0.0293040293040293,0.7992673992673993,0.7992673992673993,0.7992673992673993,20.34342414224624,20.34342414224624,20.34342414224624
aldol,40,10,repulsive_fps,128,0.0863945578231292,0.083673469387755,0.0891156462585033,0.975,0.9375,1.0,0.0007326007326007,0.0,0.0018315018315018,0.0199816849816849,0.0,0.0499542124542124,30.566850440937777,27.55557923604236,33.84873185502932
aldol,40,10,random,full,0.0312925170068027,0.0217687074829932,0.0394557823129251,0.25,0.1875,0.3125,0.038095238095238,0.0322344322344322,0.0435897435897435,1.039047619047619,0.8891849816849817,1.1889102564102565,37.10906373494617,36.792250649943504,37.44497177203888
aldol,40,10,cvt,full,0.0312925170068027,0.0238095238095238,0.0374149659863945,0.35,0.275,0.425,0.0578754578754578,0.0531135531135531,0.0619047619047619,1.5785531135531137,1.4386813186813188,1.6984432234432234,35.18438163350512,35.14373207403873,35.23006635581641
aldol,40,10,weighted_itr_cvt,full,0.0333333333333333,0.027891156462585,0.0387755102040816,0.5,0.45,0.55,0.0956043956043956,0.0893772893772893,0.1010989010989011,2.6076098901098903,2.44775641025641,2.787445054945055,35.19665116746197,35.17434037603268,35.22086365269356
aldol,40,10,fps,full,0.0768707482993197,0.0721088435374149,0.0816326530612245,0.625,0.625,0.625,0.0003663003663003,0.0,0.001098901098901,0.0099908424908424,0.0,0.0299725274725274,43.17214375613538,42.02241399075929,44.35174769204948
aldol,40,10,kennard_stone,full,0.0884353741496598,0.0884353741496598,0.0884353741496598,0.625,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,51.21250327949183,51.21250327949183,51.21250327949183
aldol,40,10,ward,full,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.625,0.625,0.625,0.0293040293040293,0.0293040293040293,0.0293040293040293,0.7992673992673993,0.7992673992673993,0.7992673992673993,35.20039456247706,35.20039456247706,35.20039456247706
aldol,40,10,repulsive_fps,full,0.0877551020408163,0.0850340136054421,0.0904761904761904,0.625,0.625,0.625,0.0003663003663003,0.0,0.001098901098901,0.0099908424908424,0.0,0.0299725274725274,45.17740957522539,42.94524066018349,47.43468088445832
aldol,40,10,random,tanimoto,0.0312925170068027,0.0224489795918367,0.0394557823129251,0.3875,0.275,0.5,0.0364963503649635,0.0313868613138686,0.0408759124087591,0.9954379562043796,0.8560766423357664,1.1148905109489051,0.544203331076402,0.5410412826970864,0.5472155199783025
aldol,40,10,cvt,tanimoto,0.0612244897959183,0.0612244897959183,0.0612244897959183,0.5,0.5,0.5,0.0328467153284671,0.0328467153284671,0.0328467153284671,0.8958941605839413,0.8958941605839413,0.8958941605839413,0.5449079494987177,0.5449079494987178,0.5449079494987178
aldol,40,10,weighted_itr_cvt,tanimoto,0.0544217687074829,0.0544217687074829,0.0544217687074829,0.5,0.5,0.5,0.0547445255474452,0.0547445255474452,0.0547445255474452,1.4931569343065694,1.4931569343065694,1.4931569343065694,0.5551446310853032,0.5551446310853032,0.5551446310853032
aldol,40,10,fps,tanimoto,0.0578231292517006,0.0482993197278911,0.0659863945578231,0.6375,0.525,0.75,0.0127737226277372,0.0105839416058394,0.014963503649635,0.3484032846715328,0.28867700729927,0.4081295620437956,0.5905050240751585,0.5865656849410796,0.5937750839209589
aldol,40,10,kennard_stone,tanimoto,0.0612244897959183,0.0612244897959183,0.0612244897959183,0.5,0.5,0.5,0.0218978102189781,0.0218978102189781,0.0218978102189781,0.5972627737226277,0.5972627737226277,0.5972627737226277,0.5917252481013221,0.5917252481013221,0.5917252481013221
aldol,40,10,ward,tanimoto,0.0612244897959183,0.0612244897959183,0.0612244897959183,0.5,0.5,0.5,0.0328467153284671,0.0328467153284671,0.0328467153284671,0.8958941605839413,0.8958941605839413,0.8958941605839413,0.5449079494987177,0.5449079494987178,0.5449079494987178
aldol,40,10,repulsive_fps,tanimoto,0.0517006802721088,0.0435374149659864,0.0598639455782312,0.7125,0.6125,0.8,0.0138686131386861,0.0091240875912408,0.018978102189781,0.3782664233576642,0.2488594890510949,0.5076733576642336,0.5996908231140086,0.5926764043605338,0.6056400476267173
cobalt_condition1,12,20,random,2,0.2085714285714285,0.1828571428571428,0.2299999999999999,0.525,0.45,0.5875,0.1966666666666666,0.1533333333333333,0.24,0.9833333333333334,0.75,1.2,2.3707929608848417,2.193297149577664,2.547746486534298
cobalt_condition1,12,20,cvt,2,0.1485714285714285,0.1428571428571428,0.1571428571428571,0.8,0.7625,0.85,0.13,0.1233333333333333,0.1333333333333333,0.65,0.6166666666666665,0.6666666666666665,0.734375066666372,0.728153724916748,0.7417689562869669
cobalt_condition1,12,20,weighted_itr_cvt,2,0.1699999999999999,0.1657142857142856,0.1742857142857142,1.0,1.0,1.0,0.0033333333333333,0.0,0.01,0.0166666666666666,0.0,0.05,1.050256818216,1.0319679515385285,1.068141142840573
cobalt_condition1,12,20,fps,2,0.1857142857142857,0.18,0.1914285714285714,1.0,1.0,1.0,0.0333333333333333,0.0199999999999999,0.0466666666666666,0.1666666666666666,0.0999999999999999,0.2333333333333333,1.0732245700379237,1.0396403412718074,1.1108285189929423
cobalt_condition1,12,20,kennard_stone,2,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,1.0515986603189538,1.051598660318954,1.051598660318954
cobalt_condition1,12,20,ward,2,0.2,0.2,0.2,0.75,0.75,0.75,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.6666666666666666,0.6666666666666665,0.6666666666666665,0.7153376660609491,0.715337666060949,0.715337666060949
cobalt_condition1,12,20,repulsive_fps,2,0.1428571428571428,0.1314285714285714,0.1542857142857142,0.975,0.9375,1.0,0.03,0.0166666666666666,0.0433333333333333,0.15,0.0833333333333333,0.2166666666666666,1.4053694101566312,1.3371853215362814,1.4749546858087443
cobalt_condition1,12,20,random,8,0.2071428571428571,0.1871071428571428,0.2271428571428571,0.35,0.3,0.4,0.2233333333333333,0.1866666666666666,0.2599999999999999,1.1166666666666667,0.9166666666666664,1.3,7.139740191981284,6.902529080215396,7.37757799690967
cobalt_condition1,12,20,cvt,8,0.1914285714285714,0.1857142857142857,0.1971428571428572,1.0,1.0,1.0,0.0833333333333333,0.0733333333333333,0.0966666666666666,0.4166666666666666,0.35,0.4833333333333333,4.361796647612854,4.33656211352927,4.387706036563101
cobalt_condition1,12,20,weighted_itr_cvt,8,0.18,0.1714285714285714,0.1885714285714285,1.0,1.0,1.0,0.1233333333333333,0.11,0.1366666666666667,0.6166666666666666,0.5499999999999998,0.6833333333333332,4.489974771846825,4.440609829356634,4.542729720080944
cobalt_condition1,12,20,fps,8,0.1785714285714285,0.1699999999999999,0.1871428571428571,1.0,1.0,1.0,0.0233333333333333,0.01,0.0366666666666666,0.1166666666666666,0.05,0.1833333333333333,6.558244369650372,5.969222224947616,7.194975366182208
cobalt_condition1,12,20,kennard_stone,8,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481627294331039,7.481627294331041,7.481627294331041
cobalt_condition1,12,20,ward,8,0.1714285714285714,0.1714285714285714,0.1714285714285714,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,4.468216101394634,4.468216101394633,4.468216101394633
cobalt_condition1,12,20,repulsive_fps,8,0.1614285714285714,0.15,0.1728571428571428,1.0,1.0,1.0,0.0066666666666666,0.0,0.0166666666666666,0.0333333333333333,0.0,0.0833333333333333,7.728890930538053,7.0982005818628,8.394349226397347
cobalt_condition1,12,20,random,16,0.1985714285714285,0.1828571428571428,0.2142857142857142,0.4375,0.3625,0.525,0.1866666666666666,0.1533333333333333,0.22,0.9333333333333332,0.7666666666666667,1.1,11.189900146176392,10.982642009083367,11.377047773050574
cobalt_condition1,12,20,cvt,16,0.1685714285714285,0.1614285714285714,0.1771428571428571,1.0,1.0,1.0,0.0966666666666666,0.0833333333333333,0.11,0.4833333333333333,0.4166666666666666,0.55,8.534144721850776,8.459284641969704,8.632702167701547
cobalt_condition1,12,20,weighted_itr_cvt,16,0.1628571428571428,0.1514285714285714,0.1757142857142857,0.975,0.9375,1.0,0.1466666666666666,0.1366666666666666,0.16,0.7333333333333333,0.6833333333333332,0.7999999999999999,8.89826765190448,8.822790012699762,8.986355336147819
cobalt_condition1,12,20,fps,16,0.2028571428571428,0.1942857142857143,0.2114285714285714,1.0,1.0,1.0,0.02,0.0066666666666666,0.0333333333333333,0.1,0.0333333333333333,0.1666666666666666,14.941560723814144,12.700874747438894,17.329029727579062
cobalt_condition1,12,20,kennard_stone,16,0.2,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.964320936442427,21.96432093644243,21.96432093644243
cobalt_condition1,12,20,ward,16,0.2,0.2,0.2,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.3333333333333333,0.3333333333333332,0.3333333333333332,8.482318345386094,8.482318345386094,8.482318345386094
