method,dimension,metric,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high
kennard_stone,64,euclidean,20,64,0.2935052999448435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.304847734953775,7.290014651212246e-15,34.304847734953775,34.304847734953775,34.897089566968496,7.290014651212246e-15,34.897089566968496,34.897089566968496,34.91093427514016,3.4834441381396096e-10,34.91093427500367,34.91093427527665,46.06882231651592,0.0,46.06882231651592,46.06882231651592,51.87866901355106,9.780580990248002e-15,51.878669013551054,51.87866901355106,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,1.6666666666666667,2.278129578503827e-16,1.6666666666666667,1.6666666666666667,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326,1.333333333333333,2.278129578503827e-16,1.333333333333333,1.333333333333333,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665
ward,64,euclidean,20,64,0.2935052999448435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.985031599255793,0.0,10.985031599255793,10.985031599255793,11.337952489616377,1.8225036628030615e-15,11.337952489616377,11.337952489616377,15.104378727096975,1.8225036628030615e-15,15.104378727096975,15.104378727096975,52.42099651889971,7.290014651212246e-15,52.42099651889971,52.42099651889971,20.00956060746323,3.645007325606123e-15,20.00956060746323,20.00956060746323,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,1.6666666666666667,2.278129578503827e-16,1.6666666666666667,1.6666666666666667,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.5,0.0,0.5,0.5,2.0,0.0,2.0,2.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
random,128,euclidean,20,128,0.4243843839284841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.579459918898955,1.0180399515932574,18.102590417171434,18.98324118756852,17.512538951654456,0.8851396463697543,17.114791259938585,17.846842926517702,22.056693339239565,0.33196845358617155,21.9070992903244,22.19874511557565,65.81795153952264,1.8575235861217183,64.88490679450446,66.41035199635704,22.708696907131685,1.6635269787478377,21.976581466576242,23.422943874032253,0.1388888888888889,0.07752674610270674,0.10555555555555556,0.17499999999999996,1.3888888888888886,0.7752674610270672,1.0833333333333335,1.722222222222222,0.23333333333333334,0.0837707816583391,0.19999999999999996,0.26666666666666666,0.3916666666666667,0.11034089772247384,0.3471527777777777,0.43888888888888894,1.5666666666666669,0.44136359088989535,1.377777777777778,1.7555555555555558,0.4166666666666667,0.101162829777814,0.37499999999999994,0.45833333333333337
cvt,128,euclidean,20,128,0.4243843839284841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.840614152043049,0.35231218239558154,12.681960083269281,12.985614385923318,14.333741576399998,0.6296169205642868,14.065694906459441,14.599592180223768,19.70637710555896,0.06714552176575073,19.678187499209816,19.737060388920337,60.97903643551408,3.852874579795811,59.41844078367314,62.54571233337595,21.331216401326884,2.1196659887439786,20.42058487774143,22.199219146949034,0.24722222222222223,0.058336814154014496,0.22499999999999995,0.27222222222222225,2.4722222222222223,0.5833681415401449,2.249999999999999,2.7222222222222223,0.38333333333333325,0.07836039099693788,0.3499999999999999,0.41666666666666663,0.55,0.07836039099693788,0.5166666666666667,0.5833333333333333,2.2,0.3134415639877515,2.0666666666666664,2.333333333333333,0.7833333333333334,0.07836039099693791,0.75,0.8166666666666668
scopemap_hd,128,euclidean,20,128,0.4243843839284841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.485404713812596,0.778462391514461,13.149538891280974,13.819075600531482,14.272513249133286,0.3418876881344873,14.136232393578146,14.410009736447376,19.94368781869342,0.06691813547142908,19.91521141342661,19.970707462699387,65.18298197020427,1.6721077918622882,64.41746223518433,65.57410006172822,12.325706334675155,1.192721610185855,11.834210260803383,12.864131029678814,0.2361111111111111,0.0594402086264799,0.21111111111111108,0.2611111111111111,2.3611111111111107,0.594402086264799,2.1111111111111107,2.611111111111111,0.3833333333333333,0.14408412097843626,0.3166666666666667,0.44187499999999896,0.5555555555555556,0.056998797338064115,0.5333333333333333,0.5833333333333333,2.2222222222222223,0.22799518935225646,2.133333333333333,2.322222222222222,0.7083333333333333,0.0916866007033635,0.6666666666666666,0.7499999999999999
fps,128,euclidean,20,128,0.4243843839284841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86092141293355,5.1014818263668475,23.912439139003478,28.196133794510086,24.84841486750703,5.528987008618112,22.722071777303256,27.44624758633481,28.22382532300129,4.510946524625775,26.380762173698795,30.193192433076444,48.94466640087671,2.321378545201072,48.00679590412383,50.00620367270039,53.49779777301127,2.1614541477931914,52.67681959683238,54.48123690088584,0.15,0.0512989176042577,0.12777777777777777,0.17222222222222222,1.5,0.512989176042577,1.277777777777778,1.722222222222222,0.2583333333333333,0.1008008864715499,0.21666666666666665,0.3,0.4333333333333333,0.12565617248750865,0.38055555555555554,0.4916666666666667,1.7333333333333332,0.5026246899500346,1.5222222222222221,1.9666666666666663,0.41666666666666663,0.101162829777814,0.37499999999999994,0.4583333333333333
kennard_stone,128,euclidean,20,128,0.4243843839284841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.13101608507988,0.0,42.13101608507988,42.13101608507988,42.80725806444616,0.0,42.80725806444616,42.80725806444616,43.76653795313136,7.290014651212246e-15,43.76653795313136,43.76653795313136,56.903317670873136,7.290014651212246e-15,56.903317670873136,56.903317670873136,61.38859255062336,0.0,61.38859255062336,61.38859255062336,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,2.7777777777777777,0.0,2.7777777777777777,2.7777777777777777,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665,0.38888888888888895,5.695323946259567e-17,0.38888888888888895,0.38888888888888895,1.5555555555555558,2.278129578503827e-16,1.5555555555555558,1.5555555555555558,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665
ward,128,euclidean,20,128,0.4243843839284841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.465951521152988,0.0,14.465951521152988,14.465951521152988,14.990094788807188,3.645007325606123e-15,14.990094788807188,14.990094788807188,19.792398335293875,3.645007325606123e-15,19.792398335293875,19.792398335293875,58.08606719180816,7.290014651212246e-15,58.08606719180816,58.08606719180816,22.009195164184295,0.0,22.009195164184295,22.009195164184295,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,1.6666666666666667,2.278129578503827e-16,1.6666666666666667,1.6666666666666667,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,2.2222222222222223,0.0,2.2222222222222223,2.2222222222222223,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
random,full,euclidean,20,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.790308331253595,1.966317024620053,30.870197661666417,32.58194733677419,31.83597468572622,1.967249837446193,31.005223096858128,32.65936739761507,38.31026513741278,1.5315499938811903,37.63317336844357,38.9738445140266,71.46870128914622,0.9528947717341024,71.05208403529491,71.85244643192756,38.308498762352244,2.7196300794821595,37.14989787625443,39.5005089685493,0.3333333333333333,0.07647191129018725,0.30270833333333325,0.36666666666666664,3.333333333333333,0.7647191129018726,3.0,3.667361111111107,0.19999999999999998,0.06839855680567693,0.17499999999999996,0.2333333333333333,0.6249999999999999,0.05664143458424126,0.6027777777777776,0.6499999999999998,2.4999999999999996,0.22656573833696503,2.4,2.589166666666665,0.3833333333333333,0.13355245153100528,0.33333333333333326,0.4416666666666666
cvt,full,euclidean,20,1191,1.0,0.0027777777777777775,0.01242259987499883,0.0,0.008333333333333333,0.0023809523809523807,0.010647942749999,0.0,0.007142857142857143,26.623573029753675,0.5376968126838174,26.39260090205444,26.839073739278575,27.68883593303616,0.6396381858625686,27.403208224706294,27.94722158488455,34.24552164285294,0.062169705041087965,34.21903451876269,34.27286794602313,68.73577025943558,0.37953450074601275,68.5595360500811,68.82704002185531,26.00578462440303,2.376873023130445,24.909591804412297,26.97427601429309,0.30833333333333335,0.06105792475542053,0.2861111111111111,0.3388888888888889,3.083333333333333,0.6105792475542052,2.8604166666666666,3.3611111111111107,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.6055555555555555,0.02484519974999766,0.5944444444444444,0.6139583333333328,2.422222222222222,0.09938079899999064,2.3777777777777778,2.4666666666666663,0.3416666666666666,0.0372677996249965,0.33333333333333326,0.3583333333333333
