method,dimension,metric,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high
random,2,euclidean,20,2,0.046120986943123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8131280993539912,0.2254498013525404,0.7183988247599166,0.9127755876784761,0.6311148590517456,0.2672128189947338,0.5272795213175779,0.7595505177884014,1.7048365126199556,0.33353083118899546,1.5814291715589301,1.8597699577608215,16.8734697310008,5.735327056288018,14.447922227697065,19.330099906905147,1.903284567469641,0.502676761807167,1.6967711905783012,2.125967824520938,0.14285714285714285,0.10619884881071831,0.09999999999999999,0.18928571428571428,1.4285714285714286,1.061988488107183,0.9999999999999998,1.8928571428571428,0.2166666666666667,0.1335524515310053,0.15833333333333333,0.2668749999999989,0.37857142857142856,0.18408772951766464,0.3,0.457142857142857,1.5142857142857142,0.7363509180706586,1.1999999999999997,1.8142857142857143,0.4083333333333333,0.18317377426626164,0.3333333333333333,0.4833333333333333
cvt,2,euclidean,20,2,0.046120986943123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7475009978563407,0.06159206413583131,0.7196542485802102,0.77396437249998,0.7509963317390717,0.11706690582954143,0.6997159074077584,0.7990793384671142,0.9909913326722414,0.012558674140871029,0.9857339181273342,0.9963166245178957,5.187331332510677,0.11975911813087381,5.141186780691287,5.244289033623543,3.677239785031472,0.08145799546643187,3.642654754056887,3.7123258817930984,0.10357142857142856,0.081852215469276,0.06785714285714285,0.1392857142857143,1.0357142857142854,0.81852215469276,0.6785714285714286,1.3928571428571426,0.14999999999999997,0.11969747440993464,0.1,0.19999999999999998,0.3142857142857143,0.09094326083734476,0.275,0.35357142857142854,1.2571428571428571,0.36377304334937904,1.1,1.4,0.3,0.13891812557774846,0.2416666666666667,0.35833333333333334
scopemap_hd,2,euclidean,20,2,0.046120986943123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6865628130343155,0.057082724695817856,0.6637432670980392,0.7125138858457265,0.6599530195716218,0.07593433365092138,0.6239276981928559,0.6872952568719138,1.274308304066954,0.036286808223204424,1.2592837543314808,1.28914676393815,8.110939992621343,1.8225036628030615e-15,8.110939992621343,8.110939992621343,1.5870019132859254,0.09000723644127281,1.5490400619798823,1.6255246527842409,0.09642857142857142,0.11417993224745919,0.04999999999999999,0.14651785714285664,0.9642857142857141,1.141799322474592,0.5357142857142856,1.4999999999999996,0.1,0.09970717360268647,0.05833333333333333,0.14166666666666666,0.38571428571428573,0.10968169942141635,0.33571428571428574,0.4321428571428571,1.542857142857143,0.4387267976856654,1.357142857142857,1.7285714285714284,0.5833333333333333,0.08549819600709616,0.5416666666666666,0.6166666666666666
fps,2,euclidean,20,2,0.046120986943123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9512252343135779,0.49479211341516444,1.7428783545960098,2.1619637541028256,2.008348727894387,0.5589192943951138,1.7635174887005747,2.2277843654668956,1.818755235140279,0.1401032865744122,1.759393158161766,1.8740367693353421,3.951669767639654,0.11368273446696038,3.9051535873237806,3.9991178554513493,4.854525622445705,0.1130807265671359,4.808654675190385,4.902779459803832,0.05714285714285714,0.07892946449329749,0.02857142857142857,0.09285714285714285,0.5714285714285714,0.789294644932975,0.2857142857142857,0.9642857142857141,0.09166666666666666,0.1008008864715499,0.049999999999999996,0.14166666666666664,0.2,0.1848156395519222,0.12857142857142856,0.2785714285714286,0.8,0.7392625582076888,0.5,1.1285714285714286,0.225,0.16468115569468073,0.1583333333333333,0.29166666666666663
kennard_stone,2,euclidean,20,2,0.046120986943123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.482453336414319,4.556259157007654e-16,2.482453336414319,2.482453336414319,2.6184832199944568,9.112518314015307e-16,2.6184832199944568,2.6184832199944568,2.1603768829860934,0.0,2.1603768829860934,2.1603768829860934,3.9744509211312904,9.112518314015307e-16,3.9744509211312904,3.9744509211312904,4.880369716369654,9.112518314015307e-16,4.880369716369654,4.880369716369654,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.7142857142857141,1.1390647892519134e-16,0.7142857142857141,0.7142857142857141,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
ward,2,euclidean,20,2,0.046120986943123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867415151437902,0.0,0.7867415151437902,0.7867415151437902,0.9451702404592968,2.278129578503827e-16,0.9451702404592968,0.9451702404592968,1.0034117744409952,0.0,1.0034117744409952,1.0034117744409952,5.818860158687789,9.112518314015307e-16,5.818860158687789,5.818860158687789,3.8029684154974297,4.556259157007654e-16,3.8029684154974297,3.8029684154974297,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,2.1428571428571432,4.556259157007654e-16,2.1428571428571432,2.1428571428571432,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,1.1428571428571428,0.0,1.1428571428571428,1.1428571428571428,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663
random,64,euclidean,20,64,0.3911300470582578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.961143414930852,2.231855512498493,16.9246166145103,18.769641803744985,10.272215936510882,1.3310833167201457,9.707522721219682,10.879354375382757,18.55945504086779,0.400533400207622,18.387656111283114,18.73701941640827,73.1676527216499,0.709155035233137,72.82574138217788,73.41789318189018,19.509583181384865,2.0130288361434827,18.66892105335824,20.37817673290333,0.28214285714285714,0.18894671018857367,0.2,0.360803571428571,2.821428571428571,1.8894671018857367,2.0000000000000004,3.6785714285714284,0.30833333333333324,0.17333164641554297,0.2416666666666666,0.3833333333333333,0.7035714285714285,0.11879044904411765,0.65,0.7500892857142855,2.814285714285714,0.4751617961764706,2.6,3.0142857142857142,0.5416666666666666,0.09168660070336346,0.5,0.5833333333333333
cvt,64,euclidean,20,64,0.3911300470582578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.148640832439712,3.83157141685797,7.525020221452223,10.762152907424154,6.792667631826168,0.6651777848888623,6.516634795122838,7.095429169240333,16.471383479553747,0.07923359673670508,16.43985420807143,16.504771686022643,61.893706355118375,14.324050312612686,55.89484630967007,67.76420453386358,25.77163567497444,2.426731079384316,24.744152241611033,26.77150780466581,0.6464285714285714,0.09406387664436479,0.6035714285714285,0.6857142857142856,6.464285714285715,0.9406387664436475,6.000000000000001,6.821428571428571,0.7583333333333333,0.10080088647154994,0.7083333333333334,0.8000000000000002,0.9035714285714287,0.04193878204374288,0.8857142857142856,0.9179464285714282,3.6142857142857148,0.1677551281749715,3.5428571428571423,3.6714285714285717,0.7833333333333333,0.07836039099693791,0.75,0.8166666666666668
scopemap_hd,64,euclidean,20,64,0.3911300470582578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.627083771224381,2.70533651314058,12.35571994443157,14.582815636448881,7.068764297822372,0.6892300715439501,6.785367581093559,7.380306668423916,16.984181982467227,0.0898988495088645,16.94410685995073,17.018781422548734,72.7862259856683,0.7908441600126429,72.39870968334888,73.03638408536214,14.905967508143224,1.3327758640158154,14.378872929390104,15.527640367368805,0.5964285714285713,0.10937523975729438,0.5464285714285714,0.6428571428571428,5.964285714285714,1.0937523975729437,5.464285714285714,6.428571428571428,0.6499999999999999,0.09208437524218041,0.6083333333333332,0.6835416666666655,0.8535714285714284,0.03645841325243147,0.8392857142857142,0.8679464285714281,3.4142857142857137,0.14583365300972587,3.3571428571428568,3.4714285714285715,0.6833333333333332,0.05129891760425773,0.6666666666666665,0.7083333333333333
fps,64,euclidean,20,64,0.3911300470582578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.173967593710124,6.407891539318922,14.740437573195436,20.04850098041323,18.035730069395868,7.547002020467921,14.826508577120986,21.39487006267975,23.675806372391907,5.014341957808769,21.700450219178034,25.83054461078753,41.54273911837873,2.542282490707677,40.45546693561855,42.69393080723047,47.42474193771868,2.3549726483895346,46.462100611577476,48.49098495488454,0.3428571428571429,0.1974596996232279,0.25714285714285723,0.4357142857142856,3.4285714285714284,1.9745969962322791,2.6071428571428568,4.2857142857142865,0.4583333333333335,0.151744244666721,0.39166666666666666,0.525,0.7857142857142857,0.11114094360221415,0.7357142857142859,0.8321428571428571,3.142857142857143,0.4445637744088566,2.942857142857143,3.3285714285714283,0.6916666666666667,0.09785715810206666,0.6499999999999998,0.7333333333333333
