method,dimension,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high,explained_variance_ratio_std,explained_variance_ratio_ci_low,explained_variance_ratio_ci_high
random,128,5,128,0.5682952898919178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.838450745912827,1.157280526736965,21.954116163104697,23.690570850967568,15.264153231151269,1.33695767711912,14.206406552788327,16.2863214231829,24.966728594512855,0.8222289254013007,24.37337786679459,25.567151340203143,74.8320659010553,0.38048867394060676,74.51870692768895,75.10257165799104,26.77173592048025,1.030059179392465,25.99707924034264,27.54639260061787,0.41428571428571426,0.09313146293146642,0.3428571428571428,0.48571428571428577,4.142857142857143,0.9313146293146644,3.428571428571428,4.857142857142857,0.19999999999999998,0.07453559924999299,0.16666666666666666,0.26666666666666666,0.7571428571428572,0.08144110179279554,0.6857142857142857,0.8142857142857143,3.028571428571429,0.32576440717118216,2.7985714285714285,3.257142857142857,0.5333333333333333,0.13944333775567924,0.4333333333333333,0.6333333333333333,0.0,0.5682952898919178,0.5682952898919178
cvt,128,5,128,0.5682952898919178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.274231218142708,4.739504617194723,7.7526071062411805,14.877744798103762,9.064480820616966,0.9265329945599984,8.388430690642533,9.762485855728842,21.83497232071627,0.10472543010360244,21.745600720921512,21.91606641626783,73.43306197559802,0.45700629467919246,73.08412235083988,73.78200160035617,28.986180584298854,1.0480481248516151,28.21755924874136,29.863835485350915,0.7571428571428571,0.03912303982179756,0.7285714285714285,0.7857142857142857,7.571428571428571,0.3912303982179759,7.285714285714285,7.857142857142857,0.5999999999999999,0.09128709291752767,0.5333333333333333,0.6666666666666666,0.9,0.03912303982179763,0.8714285714285713,0.9285714285714286,3.6,0.1564921592871905,3.4857142857142853,3.7142857142857144,0.7666666666666666,0.09128709291752772,0.7,0.8333333333333334,0.0,0.5682952898919178,0.5682952898919178
fps,128,5,128,0.5682952898919178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.938694127416504,8.596014702053107,19.753513253826675,32.417326009330495,28.114340275455724,10.323543882230146,19.47721079834394,35.90255775731091,34.05534368781791,6.978432411138226,29.134015453361116,39.27255611852938,49.9480445670079,4.254098440392803,46.86657716369766,53.36715847965736,54.94043741949432,3.8251872661557713,52.178077211124595,57.79924808724733,0.5714285714285714,0.1675148485651225,0.4285714285714285,0.6714285714285715,5.7142857142857135,1.675148485651225,4.142857142857143,6.714285714285715,0.6333333333333333,0.07453559924999298,0.5666666666666667,0.6666666666666666,0.9,0.03912303982179762,0.8714285714285713,0.9285714285714286,3.6,0.15649215928719049,3.4857142857142853,3.7142857142857144,0.8333333333333334,0.11785113019775793,0.7333333333333333,0.9333333333333333,0.0,0.5682952898919178,0.5682952898919178
kennard_stone,128,5,128,0.5682952898919178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36535324822642,0.0,37.36535324822642,37.36535324822642,41.97210247302637,0.0,41.97210247302637,41.97210247302637,43.40534842692006,0.0,43.40534842692006,43.40534842692006,56.028086067246534,0.0,56.028086067246534,56.028086067246534,60.2047308607235,7.944109290391274e-15,60.2047308607235,60.2047308607235,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,2.8571428571428568,0.0,2.8571428571428568,2.8571428571428568,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,3.4285714285714284,0.0,3.4285714285714284,3.4285714285714284,1.0,0.0,1.0,1.0,0.0,0.5682952898919178,0.5682952898919178
ward,128,5,128,0.5682952898919178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.973820863179206,0.0,8.973820863179206,8.973820863179206,8.87754307235271,0.0,8.87754307235271,8.87754307235271,21.958494520391017,0.0,21.958494520391017,21.958494520391017,49.5093043775101,0.0,49.5093043775101,49.5093043775101,31.237724503304594,3.972054645195637e-15,31.237724503304594,31.237724503304594,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,7.857142857142857,0.0,7.857142857142857,7.857142857142857,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,3.7142857142857144,0.0,3.7142857142857144,3.7142857142857144,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.5682952898919178,0.5682952898919178
random,full,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15530813948213,1.8946514098559657,31.71122823496635,34.56707849728813,27.008766787010103,2.059554880171943,25.16455571013352,28.137984799544487,36.446116579481284,1.415286705019386,35.18703801307928,37.310273848853925,76.32407075460802,0.6776858730459088,75.71362952278805,76.68109802207454,36.57876326520474,1.680354963205895,35.26574154232226,37.878611998094726,0.4999999999999999,0.050507627227610534,0.45714285714285713,0.5428571428571429,5.0,0.5050762722761052,4.571428571428571,5.428571428571428,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6714285714285715,0.039123039821797566,0.6428571428571429,0.7000000000000001,2.685714285714286,0.15649215928719026,2.5714285714285716,2.8000000000000003,0.2333333333333333,0.09128709291752768,0.16666666666666666,0.3,0.0,1.0,1.0
cvt,full,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.392131202684226,3.25059050094707,20.531453339252238,25.170775848531683,20.648407960329614,0.8617100333713623,19.87767107572482,21.033776402632007,33.06263893613721,0.1054638408988972,32.978885971691554,33.14087114740725,75.0665095820323,0.12470605926461409,74.95496909174355,75.12227982717664,35.53417102332246,1.5719995246858651,34.38927189577494,36.85607189664457,0.6571428571428571,0.03194382824999698,0.6428571428571429,0.6857142857142857,6.571428571428572,0.31943828249996964,6.428571428571429,6.857142857142857,0.3666666666666666,0.07453559924999299,0.3333333333333333,0.4333333333333333,0.7285714285714286,0.03194382824999698,0.7142857142857143,0.7571428571428571,2.9142857142857146,0.12777531299998793,2.857142857142857,3.0285714285714285,0.3666666666666666,0.07453559924999299,0.3333333333333333,0.4333333333333333,0.0,1.0,1.0
fps,full,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.97403406083464,6.444457689745753,30.958119239533666,40.98994888213563,37.35509117291468,7.402839375578631,31.75134797048877,43.08263475167737,44.73481016922748,5.604204801414986,40.38242349352005,49.08719684493491,57.56235980460733,3.975624236960744,54.448152726095124,61.02917750519019,61.47084657934674,3.4893461586163252,58.79543326405893,64.19308852125106,0.6142857142857143,0.08144110179279558,0.5571428571428572,0.6714285714285715,6.142857142857142,0.8144110179279557,5.428571428571429,6.714285714285715,0.4333333333333333,0.14907119849998596,0.3333333333333333,0.5666666666666667,0.7714285714285715,0.05976143046671965,0.7285714285714285,0.8142857142857143,3.085714285714286,0.2390457218668786,2.914285714285714,3.257142857142857,0.4666666666666667,0.13944333775567924,0.3666666666666666,0.5666666666666667,0.0,1.0,1.0
kennard_stone,full,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.86099693410587,0.0,45.86099693410587,45.86099693410587,48.80571897214371,0.0,48.80571897214371,48.80571897214371,53.65994904112968,7.944109290391274e-15,53.65994904112968,53.65994904112968,64.87368840833362,0.0,64.87368840833362,64.87368840833362,67.83517215423484,0.0,67.83517215423484,67.83517215423484,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,7.1428571428571415,9.930136612989092e-16,7.1428571428571415,7.1428571428571415,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,3.4285714285714284,0.0,3.4285714285714284,3.4285714285714284,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0
ward,full,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.800097169601848,0.0,18.800097169601848,18.800097169601848,19.10693419112003,0.0,19.10693419112003,19.10693419112003,33.016642587784034,0.0,33.016642587784034,33.016642587784034,55.58677409959283,7.944109290391274e-15,55.58677409959283,55.58677409959283,38.79575653028477,0.0,38.79575653028477,38.79575653028477,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,7.1428571428571415,9.930136612989092e-16,7.1428571428571415,7.1428571428571415,0.5,0.0,0.5,0.5,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,3.142857142857143,0.0,3.142857142857143,3.142857142857143,0.5,0.0,0.5,0.5,0.0,1.0,1.0
random,tanimoto,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6271087266897846,0.026792875287618353,0.6045818127862781,0.6445090864347458,0.6262388498234015,0.035271894126913644,0.5991358139708212,0.6535454792138061,0.6128977640045878,0.006106592035196704,0.6080008138325897,0.6175539629796236,0.8197615373773027,0.022781882362970757,0.8037045696620165,0.8400345047871323,0.6319042549200095,0.029956910774304422,0.608481988482773,0.6583357311037364,0.08571428571428572,0.05976143046671968,0.04285714285714286,0.12857142857142856,0.857142857142857,0.5976143046671968,0.2857142857142857,1.2857142857142856,0.13333333333333333,0.07453559924999298,0.06666666666666667,0.16666666666666666,0.2571428571428571,0.13923991921155662,0.1571428571428571,0.3714285714285714,1.0285714285714285,0.5569596768462265,0.6285714285714284,1.4285714285714286,0.26666666666666666,0.09128709291752768,0.19999999999999998,0.3333333333333333,0.0,1.0,1.0
cvt,tanimoto,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356066145173586,0.0,0.5356066145173586,0.5356066145173586,0.5694444444444444,0.0,0.5694444444444444,0.5694444444444444,0.5884641439093319,0.0,0.5884641439093319,0.5884641439093319,0.776,0.0,0.776,0.776,0.6917898010204634,0.0,0.6917898010204634,0.6917898010204634,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.4285714285714284,0.0,1.4285714285714284,1.4285714285714284,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,1.4285714285714286,0.0,1.4285714285714286,1.4285714285714286,0.5,0.0,0.5,0.5,0.0,1.0,1.0
fps,tanimoto,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6117745487506561,0.007350538687160276,0.606466748436811,0.6172981780864276,0.6707768014954621,0.014746240415621727,0.6578969536232075,0.6814404169628051,0.6522171223433801,0.007629097422266581,0.6465051711976939,0.6580518899975305,0.7740348832029793,0.002705326680998587,0.7720075860668663,0.7761088113542283,0.7906049542834019,0.002055133169811202,0.7889450768881408,0.7921282719981335,0.18571428571428572,0.08144110179279557,0.11428571428571428,0.24285714285714283,1.857142857142857,0.8144110179279557,1.1428571428571428,2.4285714285714284,0.39999999999999997,0.190029237516523,0.26666666666666666,0.5666666666666667,0.3142857142857143,0.10832679205787929,0.22857142857142856,0.38571428571428573,1.2571428571428571,0.43330716823151716,0.9142857142857143,1.542857142857143,0.6,0.190029237516523,0.4333333333333333,0.7333333333333334,0.0,1.0,1.0
kennard_stone,tanimoto,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6268025712203981,0.0,0.6268025712203981,0.6268025712203981,0.6895928462709284,0.0,0.6895928462709284,0.6895928462709284,0.650726981503607,0.0,0.650726981503607,0.650726981503607,0.7755102040816326,0.0,0.7755102040816326,0.7755102040816326,0.7920942524335731,0.0,0.7920942524335731,0.7920942524335731,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.4285714285714284,0.0,1.4285714285714284,1.4285714285714284,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.5,0.0,0.5,0.5,0.0,1.0,1.0
ward,tanimoto,5,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356066145173586,0.0,0.5356066145173586,0.5356066145173586,0.5694444444444444,0.0,0.5694444444444444,0.5694444444444444,0.5884641439093319,0.0,0.5884641439093319,0.5884641439093319,0.776,0.0,0.776,0.776,0.6917898010204634,0.0,0.6917898010204634,0.6917898010204634,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.4285714285714284,0.0,1.4285714285714284,1.4285714285714284,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,1.4285714285714286,0.0,1.4285714285714286,1.4285714285714286,0.5,0.0,0.5,0.5,0.0,1.0,1.0
