method,dimension,metric,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high
kennard_stone,64,euclidean,20,64,0.3432949342867421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.15782812555083,7.290014651212246e-15,34.15782812555083,34.15782812555083,34.34710445941235,7.290014651212246e-15,34.34710445941235,34.34710445941235,33.273518671631216,2.6164247223097563e-10,33.273518671512875,33.27351867174012,45.42533742078742,7.290014651212246e-15,45.42533742078742,45.42533742078742,49.325807081819576,0.0,49.325807081819576,49.325807081819576,0.05555555555555556,7.119154932824459e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665,0.5,0.0,0.5,0.5
ward,64,euclidean,20,64,0.3432949342867421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.384723693281979,1.8225036628030615e-15,14.384723693281979,14.384723693281979,13.573460566011637,3.645007325606123e-15,13.573460566011637,13.573460566011637,15.73799001543882,1.8225036628030615e-15,15.73799001543882,15.73799001543882,50.28437429856067,7.290014651212246e-15,50.28437429856067,50.28437429856067,22.15362874177847,7.290014651212246e-15,22.15362874177847,22.15362874177847,0.05555555555555556,7.119154932824459e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
random,128,euclidean,20,128,0.4905292902210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.607356571590415,2.2837871913143943,20.615230001665658,22.540767210570962,20.7675799062306,2.208856480222611,19.76077170055331,21.625253167860947,23.55305575928234,0.504886112159547,23.350563170656333,23.79239732652821,56.39153751962677,0.8157149179388473,56.01863624755134,56.749002197568586,23.74029676125202,2.3765611915316778,22.69956333324934,24.767019091793358,0.17777777777777776,0.11052476870107555,0.13333333333333336,0.23055555555555554,1.7777777777777775,1.1052476870107555,1.3333333333333335,2.2777777777777777,0.22499999999999995,0.09785715810206663,0.19166666666666662,0.27499999999999997,0.2888888888888889,0.14928897976803893,0.22777777777777777,0.35555555555555557,1.1555555555555557,0.5971559190721557,0.9111111111111111,1.4111111111111112,0.275,0.1241933033950991,0.225,0.325
cvt,128,euclidean,20,128,0.4905292902210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.03389506285644,0.9485469289316014,18.590829607525812,19.327113462788187,19.859178405682137,0.9942908514693597,19.394999891576397,20.110707664472564,20.70503733481443,0.09572103880543494,20.661519790803112,20.74525101229191,56.66962436907287,0.0934102431756707,56.63287666017677,56.713692599402826,22.838412927114103,1.563620622738909,22.176465522608765,23.518498022540957,0.11944444444444444,0.027186693607199604,0.11111111111111112,0.13333333333333336,1.1944444444444442,0.27186693607199597,1.111111111111111,1.3333333333333333,0.17499999999999996,0.037267799624996496,0.16666666666666663,0.19166666666666665,0.2861111111111111,0.05185011136037386,0.2694444444444445,0.3111111111111111,1.1444444444444444,0.20740044544149544,1.077777777777778,1.2444444444444445,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
scopemap_hd,128,euclidean,20,128,0.4905292902210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.60489080707004,0.612572488858432,19.337867296924184,19.868987102463965,19.567097375256534,0.361405621708599,19.42808310938243,19.72855154581383,21.418903978242216,0.12927551590237607,21.36605045595171,21.47452219736094,56.51106913698915,0.10129961889907868,56.47188935250322,56.55460851697179,10.088723987309653,1.7488239646787878,9.317973120014997,10.810499001317396,0.11111111111111112,1.4238309865648918e-17,0.11111111111111112,0.11111111111111112,1.111111111111111,0.0,1.111111111111111,1.111111111111111,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
fps,128,euclidean,20,128,0.4905292902210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.848455647195046,5.7202720746283795,28.509671149444163,33.4292452563308,30.133360819330925,6.050728656360709,27.53303353146941,32.58287611730113,31.122715623190725,5.289750028725489,28.95633718782581,33.430200212594464,47.39783631697212,3.0788754117309067,46.04661524489998,48.77362636472766,51.67513637307117,2.833972201563812,50.42383881967222,52.89949116320672,0.07222222222222223,0.04451748384366843,0.05277777777777778,0.09166666666666666,0.7222222222222221,0.44517483843668426,0.5277777777777777,0.888888888888889,0.14166666666666666,0.08156008082159881,0.10833333333333332,0.175,0.20555555555555555,0.09383186267756417,0.16944444444444445,0.25000000000000006,0.8222222222222222,0.3753274507102567,0.6777777777777777,1.011111111111111,0.23333333333333334,0.11342617456312008,0.19166666666666662,0.2833333333333333
kennard_stone,128,euclidean,20,128,0.4905292902210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.81988395551313,7.290014651212246e-15,41.81988395551313,41.81988395551313,41.792378695215646,7.290014651212246e-15,41.792378695215646,41.792378695215646,41.61714564997315,3.3839999257500983e-10,41.617145649829205,41.61714565011711,55.11359522571947,0.0,55.11359522571947,55.11359522571947,58.09485970985433,1.4580029302424492e-14,58.09485970985433,58.09485970985433,0.05555555555555556,7.119154932824459e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
ward,128,euclidean,20,128,0.4905292902210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.62374615712917,3.645007325606123e-15,19.62374615712917,19.62374615712917,20.11821536178973,3.645007325606123e-15,20.11821536178973,20.11821536178973,20.87270944705397,0.0,20.87270944705397,20.87270944705397,56.359437259371944,7.290014651212246e-15,56.359437259371944,56.359437259371944,25.104813246962458,0.0,25.104813246962458,25.104813246962458,0.11111111111111112,1.4238309865648918e-17,0.11111111111111112,0.11111111111111112,1.111111111111111,0.0,1.111111111111111,1.111111111111111,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
random,full,euclidean,20,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.22018370648188,1.5589398466204314,36.55033604482165,37.90451831580571,37.70371596052048,1.3367509097076227,37.11491350210515,38.300072983630514,38.386241461664625,1.1078615267594347,37.922055310459044,38.85074186020688,69.54987895339136,0.7127476342224996,69.27006493068713,69.86309293131615,38.15418148816925,2.6008516056750635,37.04857922269806,39.275704897101775,0.1861111111111111,0.048616332217523366,0.16666666666666666,0.20833333333333331,1.8611111111111107,0.48616332217523356,1.6666666666666667,2.083333333333333,0.2166666666666667,0.07836039099693787,0.1833333333333333,0.25,0.3666666666666667,0.06598087816406238,0.3388888888888889,0.3944444444444445,1.4666666666666668,0.2639235126562495,1.3555555555555556,1.577777777777778,0.3499999999999999,0.051298917604257706,0.33333333333333326,0.37499999999999994
cvt,full,euclidean,20,1191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75634542754609,1.1237961385142912,31.24238186517438,32.18422782497752,33.03011463056026,0.8623176814920854,32.61437388654275,33.33616601004501,33.93622889730152,0.11316091953614081,33.89005183379228,33.986408507531046,67.09429044312127,0.0,67.09429044312127,67.09429044312127,24.25632880838227,2.495565033178651,23.162142450239305,25.319436523778144,0.1833333333333333,0.0512989176042577,0.16666666666666663,0.20833333333333331,1.8333333333333333,0.512989176042577,1.6666666666666667,2.083333333333333,0.1833333333333333,0.0512989176042577,0.16666666666666663,0.20833333333333331,0.3055555555555556,0.03823595564509362,0.28888888888888886,0.32222222222222224,1.2222222222222223,0.15294382258037448,1.1666666666666665,1.288888888888889,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
